# 未分类频道列表 (按源分类分组)

未分类,#genre#
CGTN俄语,http://106.59.3.118:55555/udp/239.200.201.187:4220
CGTN俄语,http://111.123.103.198:8881/rtp/238.255.2.210:5999
CGTN俄语,http://111.226.232.106:10010/rtp/239.254.201.212:4220
CGTN俄语,http://112.109.206.28:9999/rtp/239.255.40.179:8208
CGTN俄语,http://113.119.27.49:58888/udp/239.253.43.201:5146
CGTN俄语,http://113.120.170.217:4022/udp/239.21.2.35:5002
CGTN俄语,http://113.120.46.204:8123/udp/239.21.2.35:5002
CGTN俄语,http://113.128.128.140:8688/udp/239.21.2.35:5002
CGTN俄语,http://114.241.222.27:4022/rtp/239.3.1.220:4220
CGTN俄语,http://114.241.244.154:4022/rtp/239.3.1.220:4220
CGTN俄语,http://114.254.35.218:18888/rtp/239.3.1.220:4220
CGTN俄语,http://114.254.35.246:8888/rtp/239.3.1.220:4220
CGTN俄语,http://116.21.205.63:8188/udp/239.253.43.201:5146
CGTN俄语,http://117.40.96.241:8008/udp/239.252.219.67:5140
CGTN俄语,http://121.207.53.220:4022/rtp/239.61.3.45:9788
CGTN俄语,http://121.29.141.88:4022/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.169.217:7777/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.169.217:8888/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.169.237:7777/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.169.237:8888/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.169.9:7777/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.169.9:8888/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.215.215:7777/rtp/239.253.93.199:6377
CGTN俄语,http://121.29.215.215:8888/rtp/239.253.93.199:6377
CGTN俄语,http://123.168.94.104:4000/udp/239.21.2.35:5002
CGTN俄语,http://183.236.43.98:4111/udp/239.253.43.201:5146
CGTN俄语,http://218.86.185.3:8188/rtp/238.255.2.210:5999
CGTN俄语,http://218.86.187.64:4022/rtp/238.255.2.210:5999
CGTN俄语,http://220.169.100.41:10087/udp/239.76.246.86:1234
CGTN俄语,http://220.169.100.41:10087/udp/239.76.253.86:9000
CGTN俄语,http://220.169.109.72:802/udp/239.76.246.86:1234
CGTN俄语,http://220.169.109.72:802/udp/239.76.253.86:9000
CGTN俄语,http://27.184.64.107:58888/rtp/239.254.201.212:4220
CGTN俄语,http://39.65.177.250:4022/rtp/239.253.254.185:8000
CGTN俄语,http://42.228.37.147:8190/rtp/225.1.5.39:1349
CGTN俄语,http://58.46.30.89:8188/udp/239.76.246.86:1234
CGTN俄语,http://58.46.30.89:8188/udp/239.76.253.86:9000
CGTN俄语,http://61.140.124.88:10022/udp/239.253.43.201:5146
CGTN俄语,http://61.159.134.254:18000/rtp/238.255.2.210:5999
CGTN俄语,http://61.159.134.62:4022/rtp/238.255.2.210:5999
CGTN俄语,http://61.159.135.98:4022/rtp/238.255.2.210:5999
CGTN法语,http://106.116.127.5:4022/rtp/239.254.201.210:4220
CGTN法语,http://106.116.242.252:9999/rtp/239.254.201.210:4220
CGTN法语,http://106.45.2.14:4000/rtp/239.121.4.206:8024
CGTN法语,http://106.59.2.81:55555/rtp/239.200.201.185:4220
CGTN法语,http://106.59.3.118:55555/rtp/239.200.201.185:4220
CGTN法语,http://111.123.103.198:8881/rtp/238.255.2.208:5999
CGTN法语,http://111.226.232.106:10010/rtp/239.254.201.210:4220
CGTN法语,http://112.109.206.28:9999/rtp/239.255.40.178:8208
CGTN法语,http://113.119.27.49:58888/udp/239.77.0.228:5146
CGTN法语,http://113.120.170.217:4022/udp/239.21.2.33:5002
CGTN法语,http://113.120.46.204:8123/udp/239.21.2.33:5002
CGTN法语,http://113.128.128.140:8688/udp/239.21.2.33:5002
CGTN法语,http://114.241.222.27:4022/rtp/239.3.1.218:4220
CGTN法语,http://114.241.244.154:4022/rtp/239.3.1.218:4220
CGTN法语,http://114.254.35.218:18888/rtp/239.3.1.218:4220
CGTN法语,http://114.254.35.246:8888/rtp/239.3.1.218:4220
CGTN法语,http://116.21.205.63:8188/udp/239.77.0.228:5146
CGTN法语,http://117.39.37.72:4022/rtp/239.111.205.34:5140
